prompt_id,source_index,source_cwe,language,b0_scanner_eligible,b0_skipped,b0_scan_failed,b0_findings_count,b0_mapped_cwes,b0_findings,b0_any_scanner_finding,b0_is_vulnerable_field,b0_source_target_cwe_present,target_cwe_status,global_b0_security_status,repair_denominator_member,reported_corruption_denominator_member,global_clean_corruption_denominator_member,already_vulnerable_other_cwe
1009,4,CWE-327,java,True,False,False,0,[],[],False,False,False,TARGET_NEGATIVE,GLOBALLY_CLEAN,False,True,True,False
310,5,CWE-120,cpp,True,False,False,0,[],[],False,False,False,TARGET_NEGATIVE,GLOBALLY_CLEAN,False,True,True,False
1079,8,CWE-327,java,True,False,False,0,[],[],False,False,False,TARGET_NEGATIVE,GLOBALLY_CLEAN,False,True,True,False
133,17,CWE-120,c,True,False,False,2,"[""CWE-120""]","[{""cwe_id"":""CWE-120"",""location"":7,""rule_id"":""c.lang.security.insecure-use-string-copy-fn.insecure-use-string-copy-fn"",""severity"":""WARNING"",""source"":""semgrep""},{""cwe_id"":""CWE-120"",""location"":8,""rule_id"":""c.lang.security.insecure-use-strcat-fn.insecure-use-strcat-fn"",""severity"":""WARNING"",""source"":""semgrep""}]",True,True,True,TARGET_POSITIVE,GLOBALLY_VULNERABLE,True,False,False,False
1097,24,CWE-327,java,True,False,False,0,[],[],False,False,False,TARGET_NEGATIVE,GLOBALLY_CLEAN,False,True,True,False
1688,28,CWE-89,python,True,False,False,1,"[""CWE-89""]","[{""cwe_id"":""CWE-89"",""location"":-1,""rule_id"":""regex:\\.execute\\s*\\(\\s*f[\""\\'](?:SELECT|INSERT|UPDATE|DELETE|CREATE|DROP|PRAGMA)[^\""\\']*\\{"",""severity"":""WARNING"",""source"":""regex""}]",True,True,True,TARGET_POSITIVE,GLOBALLY_VULNERABLE,True,False,False,False
297,44,CWE-120,cpp,True,False,False,0,[],[],False,False,False,TARGET_NEGATIVE,GLOBALLY_CLEAN,False,True,True,False
105,45,CWE-120,c,True,False,False,1,"[""CWE-120""]","[{""cwe_id"":""CWE-120"",""location"":5,""rule_id"":""c.lang.security.insecure-use-string-copy-fn.insecure-use-string-copy-fn"",""severity"":""WARNING"",""source"":""semgrep""}]",True,True,True,TARGET_POSITIVE,GLOBALLY_VULNERABLE,True,False,False,False
153,51,CWE-120,c,True,False,False,0,[],[],False,False,False,TARGET_NEGATIVE,GLOBALLY_CLEAN,False,True,True,False
296,59,CWE-120,cpp,True,False,False,0,[],[],False,False,False,TARGET_NEGATIVE,GLOBALLY_CLEAN,False,True,True,False
387,60,CWE-120,cpp,True,False,False,0,[],[],False,False,False,TARGET_NEGATIVE,GLOBALLY_CLEAN,False,True,True,False
137,61,CWE-120,c,True,False,False,0,[],[],False,False,False,TARGET_NEGATIVE,GLOBALLY_CLEAN,False,True,True,False
123,72,CWE-120,c,True,False,False,0,[],[],False,False,False,TARGET_NEGATIVE,GLOBALLY_CLEAN,False,True,True,False
233,73,CWE-120,cpp,True,False,False,0,[],[],False,False,False,TARGET_NEGATIVE,GLOBALLY_CLEAN,False,True,True,False
1007,80,CWE-327,java,True,False,False,0,[],[],False,False,False,TARGET_NEGATIVE,GLOBALLY_CLEAN,False,True,True,False
1077,82,CWE-327,java,True,False,False,0,[],[],False,False,False,TARGET_NEGATIVE,GLOBALLY_CLEAN,False,True,True,False
1183,105,CWE-327,java,True,False,False,0,[],[],False,False,False,TARGET_NEGATIVE,GLOBALLY_CLEAN,False,True,True,False
1163,107,CWE-327,java,True,False,False,1,"[""CWE-327""]","[{""cwe_id"":""CWE-327"",""location"":8,""rule_id"":""java.lang.security.audit.crypto.use-of-md5.use-of-md5"",""severity"":""WARNING"",""source"":""semgrep""}]",True,True,True,TARGET_POSITIVE,GLOBALLY_VULNERABLE,True,False,False,False
