setting_id,prompt_id,best_action_ids,representative_best_action_id,representative_best_action_label,r_star,final_best_action_ids,best_action_set_changed
corruption_penalty=1,0,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,2,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,5,"[7,10]",7,intervention:L19_CWE-120_B:Low,-0.05,"[7,10]",false
corruption_penalty=1,8,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,9,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,10,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,11,[0],0,no_op:none:none,1,[0],false
corruption_penalty=1,12,[7],7,intervention:L19_CWE-120_B:Low,0.95,[7],false
corruption_penalty=1,15,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,17,[0],0,no_op:none:none,1,[0],false
corruption_penalty=1,18,"[7,10]",7,intervention:L19_CWE-120_B:Low,0.95,"[7,10]",false
corruption_penalty=1,20,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,21,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,22,"[1,10,19]",1,intervention:L16_CWE-120_B:Low,0.95,"[1,10,19]",false
corruption_penalty=1,24,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,25,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,26,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,27,"[7,10]",7,intervention:L19_CWE-120_B:Low,0.95,"[7,10]",false
corruption_penalty=1,28,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,29,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,31,"[1,10,19]",1,intervention:L16_CWE-120_B:Low,0.95,"[1,10,19]",false
corruption_penalty=1,32,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,33,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,34,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,35,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,36,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,37,[7],7,intervention:L19_CWE-120_B:Low,-0.05,[7],false
corruption_penalty=1,38,"[1,19]",1,intervention:L16_CWE-120_B:Low,0.95,"[1,19]",false
corruption_penalty=1,40,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,41,"[7,10]",7,intervention:L19_CWE-120_B:Low,-0.05,"[7,10]",false
corruption_penalty=1,42,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,44,[7],7,intervention:L19_CWE-120_B:Low,0.95,[7],false
corruption_penalty=1,45,"[7,10]",7,intervention:L19_CWE-120_B:Low,0.95,"[7,10]",false
corruption_penalty=1,46,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,47,"[7,10]",7,intervention:L19_CWE-120_B:Low,-0.05,"[7,10]",false
corruption_penalty=1,49,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,52,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,53,"[1,10,19]",1,intervention:L16_CWE-120_B:Low,-0.05,"[1,10,19]",false
corruption_penalty=1,55,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,57,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,58,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,59,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,60,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,62,"[7,10]",7,intervention:L19_CWE-120_B:Low,-0.05,"[7,10]",false
corruption_penalty=1,63,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,66,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,67,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,68,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,69,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,70,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,71,"[7,10]",7,intervention:L19_CWE-120_B:Low,-0.05,"[7,10]",false
corruption_penalty=1,72,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,74,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,75,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,76,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,77,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,80,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,82,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,83,"[1,19]",1,intervention:L16_CWE-120_B:Low,-0.05,"[1,19]",false
corruption_penalty=1,84,"[7,10]",7,intervention:L19_CWE-120_B:Low,-0.05,"[7,10]",false
corruption_penalty=1,86,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,87,"[1,10,19]",1,intervention:L16_CWE-120_B:Low,0.95,"[1,10,19]",false
corruption_penalty=1,89,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,91,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,92,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,94,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,95,[0],0,no_op:none:none,1,[0],false
corruption_penalty=1,97,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,98,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,99,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,100,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,101,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,105,[7],7,intervention:L19_CWE-120_B:Low,0.95,[7],false
corruption_penalty=1,106,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,107,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,108,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,109,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,111,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,112,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,113,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,115,"[7,10]",7,intervention:L19_CWE-120_B:Low,0.95,"[7,10]",false
corruption_penalty=1,121,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,122,"[1,10,19]",1,intervention:L16_CWE-120_B:Low,-0.05,"[1,10,19]",false
corruption_penalty=1,123,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,125,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,126,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,127,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,128,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,129,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,132,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,133,[7],7,intervention:L19_CWE-120_B:Low,-0.05,[7],false
corruption_penalty=1,134,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,136,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,137,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,143,[0],0,no_op:none:none,0,[0],false
