cwe,raw_pair_count,augmented_pair_count,train_count,validation_count,test_count,development_b0_detection_count,heldout_b0_detection_count,scanner_rule_support,scanner_support_basis,causal_validation_sample_count,revision_causal_revalidation_repair_count,intervention_library_status,heldout_effect_denominator,evidence_status,reason,provenance_paths,provenance_hashes
CWE-120,121,0,48,12,33,22,14,true,RULE_AND_OR_REGEX,14,6,PRESENT,14,PRIMARY,Primary executed-study CWE with scanner support and a non-tiny held-out B0 denominator.,"[""data/processed/vulnerability_pairs_full.csv"",""data/processed/train_pairs.csv"",""data/processed/val_pairs.csv"",""data/processed/test_pairs.csv"",""outputs/phase2/baseline_dev_icd.json"",""outputs/phase9/baseline_test_icd.json"",""revision/model1/phase2/phase2_denominator_audit.json"",""outputs/phase4/phase4_causal_validation.csv"",""revision/model1/phase4/outputs/frozen_route_revalidation_scans.json"",""outputs/phase4/intervention_library.json"",""revision/model1/phase16/outputs/phase16_per_cwe_descriptive.csv""]","{""data/processed/test_pairs.csv"":""83396667de8ab6d817016929bfee90dccb0515267481f63962eaff22fe97200a"",""data/processed/train_pairs.csv"":""599698e22ffc5eba626e8c5f0b9fccfdb9ae7edb9404669b648d809e85046069"",""data/processed/val_pairs.csv"":""edc8ca9d2d1da16d55417b61a2c0ca4d4dbb6205940a7f065251b8ffdcabb4cd"",""data/processed/vulnerability_pairs_full.csv"":""7acb486e0f11421167459b1a003e7aa0b9a920d5c9b8a5e8761aaf47c3667c23"",""outputs/phase2/baseline_dev_icd.json"":""8af54a450b133a315b5578357e07b8201ddf2f431f8fee04874ef1f4a18974d6"",""outputs/phase4/intervention_library.json"":""d5ceb2c2ac8b9dccd2f6b9f76476ac0a0ff4f0d6ca1944dd1f174c01c15f4cf2"",""outputs/phase4/phase4_causal_validation.csv"":""713cc43c8abf40f3382958c8b69c92bf268bc5257e1207b0b183d3599bff6fd9"",""outputs/phase9/baseline_test_icd.json"":""250265bf336852de78ff467e456e9f11378357df9462002037a2df0627669560"",""revision/model1/phase16/outputs/phase16_per_cwe_descriptive.csv"":""6fb75e66c82bb3aecf84b034302e311fdac35af689eef45e7bbfb7b4efd13634"",""revision/model1/phase2/phase2_denominator_audit.json"":""75b5ca0a029e43a49a9048d17a94713c0003aad6f144352539c6b0ecede3f619"",""revision/model1/phase4/outputs/frozen_route_revalidation_scans.json"":""bc0e4b0b5fe817a06addab72d26a572bf9df718d247ae2437ef971a4ffd176f4""}"
CWE-125,708,0,51,25,17,0,0,true,RULE_AND_OR_REGEX,15,0,PRESENT,0,NOT_ESTIMABLE,Scanner support exists but the official held-out B0 effect denominator is zero.,"[""data/processed/vulnerability_pairs_full.csv"",""data/processed/train_pairs.csv"",""data/processed/val_pairs.csv"",""data/processed/test_pairs.csv"",""outputs/phase2/baseline_dev_icd.json"",""outputs/phase9/baseline_test_icd.json"",""revision/model1/phase2/phase2_denominator_audit.json"",""outputs/phase4/phase4_causal_validation.csv"",""revision/model1/phase4/outputs/frozen_route_revalidation_scans.json"",""outputs/phase4/intervention_library.json"",""revision/model1/phase16/outputs/phase16_per_cwe_descriptive.csv""]","{""data/processed/test_pairs.csv"":""83396667de8ab6d817016929bfee90dccb0515267481f63962eaff22fe97200a"",""data/processed/train_pairs.csv"":""599698e22ffc5eba626e8c5f0b9fccfdb9ae7edb9404669b648d809e85046069"",""data/processed/val_pairs.csv"":""edc8ca9d2d1da16d55417b61a2c0ca4d4dbb6205940a7f065251b8ffdcabb4cd"",""data/processed/vulnerability_pairs_full.csv"":""7acb486e0f11421167459b1a003e7aa0b9a920d5c9b8a5e8761aaf47c3667c23"",""outputs/phase2/baseline_dev_icd.json"":""8af54a450b133a315b5578357e07b8201ddf2f431f8fee04874ef1f4a18974d6"",""outputs/phase4/intervention_library.json"":""d5ceb2c2ac8b9dccd2f6b9f76476ac0a0ff4f0d6ca1944dd1f174c01c15f4cf2"",""outputs/phase4/phase4_causal_validation.csv"":""713cc43c8abf40f3382958c8b69c92bf268bc5257e1207b0b183d3599bff6fd9"",""outputs/phase9/baseline_test_icd.json"":""250265bf336852de78ff467e456e9f11378357df9462002037a2df0627669560"",""revision/model1/phase16/outputs/phase16_per_cwe_descriptive.csv"":""6fb75e66c82bb3aecf84b034302e311fdac35af689eef45e7bbfb7b4efd13634"",""revision/model1/phase2/phase2_denominator_audit.json"":""75b5ca0a029e43a49a9048d17a94713c0003aad6f144352539c6b0ecede3f619"",""revision/model1/phase4/outputs/frozen_route_revalidation_scans.json"":""bc0e4b0b5fe817a06addab72d26a572bf9df718d247ae2437ef971a4ffd176f4""}"
CWE-787,407,0,51,14,28,0,0,true,RULE_AND_OR_REGEX,15,0,PRESENT,0,NOT_ESTIMABLE,Scanner support exists but the official held-out B0 effect denominator is zero.,"[""data/processed/vulnerability_pairs_full.csv"",""data/processed/train_pairs.csv"",""data/processed/val_pairs.csv"",""data/processed/test_pairs.csv"",""outputs/phase2/baseline_dev_icd.json"",""outputs/phase9/baseline_test_icd.json"",""revision/model1/phase2/phase2_denominator_audit.json"",""outputs/phase4/phase4_causal_validation.csv"",""revision/model1/phase4/outputs/frozen_route_revalidation_scans.json"",""outputs/phase4/intervention_library.json"",""revision/model1/phase16/outputs/phase16_per_cwe_descriptive.csv""]","{""data/processed/test_pairs.csv"":""83396667de8ab6d817016929bfee90dccb0515267481f63962eaff22fe97200a"",""data/processed/train_pairs.csv"":""599698e22ffc5eba626e8c5f0b9fccfdb9ae7edb9404669b648d809e85046069"",""data/processed/val_pairs.csv"":""edc8ca9d2d1da16d55417b61a2c0ca4d4dbb6205940a7f065251b8ffdcabb4cd"",""data/processed/vulnerability_pairs_full.csv"":""7acb486e0f11421167459b1a003e7aa0b9a920d5c9b8a5e8761aaf47c3667c23"",""outputs/phase2/baseline_dev_icd.json"":""8af54a450b133a315b5578357e07b8201ddf2f431f8fee04874ef1f4a18974d6"",""outputs/phase4/intervention_library.json"":""d5ceb2c2ac8b9dccd2f6b9f76476ac0a0ff4f0d6ca1944dd1f174c01c15f4cf2"",""outputs/phase4/phase4_causal_validation.csv"":""713cc43c8abf40f3382958c8b69c92bf268bc5257e1207b0b183d3599bff6fd9"",""outputs/phase9/baseline_test_icd.json"":""250265bf336852de78ff467e456e9f11378357df9462002037a2df0627669560"",""revision/model1/phase16/outputs/phase16_per_cwe_descriptive.csv"":""6fb75e66c82bb3aecf84b034302e311fdac35af689eef45e7bbfb7b4efd13634"",""revision/model1/phase2/phase2_denominator_audit.json"":""75b5ca0a029e43a49a9048d17a94713c0003aad6f144352539c6b0ecede3f619"",""revision/model1/phase4/outputs/frozen_route_revalidation_scans.json"":""bc0e4b0b5fe817a06addab72d26a572bf9df718d247ae2437ef971a4ffd176f4""}"
CWE-190,304,0,71,14,8,0,0,false,NONE,15,0,PRESENT,0,NO_SCANNER_SUPPORT,Frozen revision scanner has no rule or regex capable of standalone target-CWE detection.,"[""data/processed/vulnerability_pairs_full.csv"",""data/processed/train_pairs.csv"",""data/processed/val_pairs.csv"",""data/processed/test_pairs.csv"",""outputs/phase2/baseline_dev_icd.json"",""outputs/phase9/baseline_test_icd.json"",""revision/model1/phase2/phase2_denominator_audit.json"",""outputs/phase4/phase4_causal_validation.csv"",""revision/model1/phase4/outputs/frozen_route_revalidation_scans.json"",""outputs/phase4/intervention_library.json"",""revision/model1/phase16/outputs/phase16_per_cwe_descriptive.csv""]","{""data/processed/test_pairs.csv"":""83396667de8ab6d817016929bfee90dccb0515267481f63962eaff22fe97200a"",""data/processed/train_pairs.csv"":""599698e22ffc5eba626e8c5f0b9fccfdb9ae7edb9404669b648d809e85046069"",""data/processed/val_pairs.csv"":""edc8ca9d2d1da16d55417b61a2c0ca4d4dbb6205940a7f065251b8ffdcabb4cd"",""data/processed/vulnerability_pairs_full.csv"":""7acb486e0f11421167459b1a003e7aa0b9a920d5c9b8a5e8761aaf47c3667c23"",""outputs/phase2/baseline_dev_icd.json"":""8af54a450b133a315b5578357e07b8201ddf2f431f8fee04874ef1f4a18974d6"",""outputs/phase4/intervention_library.json"":""d5ceb2c2ac8b9dccd2f6b9f76476ac0a0ff4f0d6ca1944dd1f174c01c15f4cf2"",""outputs/phase4/phase4_causal_validation.csv"":""713cc43c8abf40f3382958c8b69c92bf268bc5257e1207b0b183d3599bff6fd9"",""outputs/phase9/baseline_test_icd.json"":""250265bf336852de78ff467e456e9f11378357df9462002037a2df0627669560"",""revision/model1/phase16/outputs/phase16_per_cwe_descriptive.csv"":""6fb75e66c82bb3aecf84b034302e311fdac35af689eef45e7bbfb7b4efd13634"",""revision/model1/phase2/phase2_denominator_audit.json"":""75b5ca0a029e43a49a9048d17a94713c0003aad6f144352539c6b0ecede3f619"",""revision/model1/phase4/outputs/frozen_route_revalidation_scans.json"":""bc0e4b0b5fe817a06addab72d26a572bf9df718d247ae2437ef971a4ffd176f4""}"
CWE-476,343,0,50,25,18,0,0,false,NONE,15,0,PRESENT,0,NO_SCANNER_SUPPORT,Frozen revision scanner has no rule or regex capable of standalone target-CWE detection.,"[""data/processed/vulnerability_pairs_full.csv"",""data/processed/train_pairs.csv"",""data/processed/val_pairs.csv"",""data/processed/test_pairs.csv"",""outputs/phase2/baseline_dev_icd.json"",""outputs/phase9/baseline_test_icd.json"",""revision/model1/phase2/phase2_denominator_audit.json"",""outputs/phase4/phase4_causal_validation.csv"",""revision/model1/phase4/outputs/frozen_route_revalidation_scans.json"",""outputs/phase4/intervention_library.json"",""revision/model1/phase16/outputs/phase16_per_cwe_descriptive.csv""]","{""data/processed/test_pairs.csv"":""83396667de8ab6d817016929bfee90dccb0515267481f63962eaff22fe97200a"",""data/processed/train_pairs.csv"":""599698e22ffc5eba626e8c5f0b9fccfdb9ae7edb9404669b648d809e85046069"",""data/processed/val_pairs.csv"":""edc8ca9d2d1da16d55417b61a2c0ca4d4dbb6205940a7f065251b8ffdcabb4cd"",""data/processed/vulnerability_pairs_full.csv"":""7acb486e0f11421167459b1a003e7aa0b9a920d5c9b8a5e8761aaf47c3667c23"",""outputs/phase2/baseline_dev_icd.json"":""8af54a450b133a315b5578357e07b8201ddf2f431f8fee04874ef1f4a18974d6"",""outputs/phase4/intervention_library.json"":""d5ceb2c2ac8b9dccd2f6b9f76476ac0a0ff4f0d6ca1944dd1f174c01c15f4cf2"",""outputs/phase4/phase4_causal_validation.csv"":""713cc43c8abf40f3382958c8b69c92bf268bc5257e1207b0b183d3599bff6fd9"",""outputs/phase9/baseline_test_icd.json"":""250265bf336852de78ff467e456e9f11378357df9462002037a2df0627669560"",""revision/model1/phase16/outputs/phase16_per_cwe_descriptive.csv"":""6fb75e66c82bb3aecf84b034302e311fdac35af689eef45e7bbfb7b4efd13634"",""revision/model1/phase2/phase2_denominator_audit.json"":""75b5ca0a029e43a49a9048d17a94713c0003aad6f144352539c6b0ecede3f619"",""revision/model1/phase4/outputs/frozen_route_revalidation_scans.json"":""bc0e4b0b5fe817a06addab72d26a572bf9df718d247ae2437ef971a4ffd176f4""}"
CWE-89,46,0,27,11,8,9,2,true,RULE_AND_OR_REGEX,7,8,PRESENT,2,EXPLORATORY,Scanner support exists but the official held-out B0 effect denominator is below five.,"[""data/processed/vulnerability_pairs_full.csv"",""data/processed/train_pairs.csv"",""data/processed/val_pairs.csv"",""data/processed/test_pairs.csv"",""outputs/phase2/baseline_dev_icd.json"",""outputs/phase9/baseline_test_icd.json"",""revision/model1/phase2/phase2_denominator_audit.json"",""outputs/phase4/phase4_causal_validation.csv"",""revision/model1/phase4/outputs/frozen_route_revalidation_scans.json"",""outputs/phase4/intervention_library.json"",""revision/model1/phase16/outputs/phase16_per_cwe_descriptive.csv""]","{""data/processed/test_pairs.csv"":""83396667de8ab6d817016929bfee90dccb0515267481f63962eaff22fe97200a"",""data/processed/train_pairs.csv"":""599698e22ffc5eba626e8c5f0b9fccfdb9ae7edb9404669b648d809e85046069"",""data/processed/val_pairs.csv"":""edc8ca9d2d1da16d55417b61a2c0ca4d4dbb6205940a7f065251b8ffdcabb4cd"",""data/processed/vulnerability_pairs_full.csv"":""7acb486e0f11421167459b1a003e7aa0b9a920d5c9b8a5e8761aaf47c3667c23"",""outputs/phase2/baseline_dev_icd.json"":""8af54a450b133a315b5578357e07b8201ddf2f431f8fee04874ef1f4a18974d6"",""outputs/phase4/intervention_library.json"":""d5ceb2c2ac8b9dccd2f6b9f76476ac0a0ff4f0d6ca1944dd1f174c01c15f4cf2"",""outputs/phase4/phase4_causal_validation.csv"":""713cc43c8abf40f3382958c8b69c92bf268bc5257e1207b0b183d3599bff6fd9"",""outputs/phase9/baseline_test_icd.json"":""250265bf336852de78ff467e456e9f11378357df9462002037a2df0627669560"",""revision/model1/phase16/outputs/phase16_per_cwe_descriptive.csv"":""6fb75e66c82bb3aecf84b034302e311fdac35af689eef45e7bbfb7b4efd13634"",""revision/model1/phase2/phase2_denominator_audit.json"":""75b5ca0a029e43a49a9048d17a94713c0003aad6f144352539c6b0ecede3f619"",""revision/model1/phase4/outputs/frozen_route_revalidation_scans.json"":""bc0e4b0b5fe817a06addab72d26a572bf9df718d247ae2437ef971a4ffd176f4""}"
CWE-79,569,0,65,14,14,0,0,true,RULE_AND_OR_REGEX,15,0,PRESENT,0,NOT_ESTIMABLE,Scanner support exists but the official held-out B0 effect denominator is zero.,"[""data/processed/vulnerability_pairs_full.csv"",""data/processed/train_pairs.csv"",""data/processed/val_pairs.csv"",""data/processed/test_pairs.csv"",""outputs/phase2/baseline_dev_icd.json"",""outputs/phase9/baseline_test_icd.json"",""revision/model1/phase2/phase2_denominator_audit.json"",""outputs/phase4/phase4_causal_validation.csv"",""revision/model1/phase4/outputs/frozen_route_revalidation_scans.json"",""outputs/phase4/intervention_library.json"",""revision/model1/phase16/outputs/phase16_per_cwe_descriptive.csv""]","{""data/processed/test_pairs.csv"":""83396667de8ab6d817016929bfee90dccb0515267481f63962eaff22fe97200a"",""data/processed/train_pairs.csv"":""599698e22ffc5eba626e8c5f0b9fccfdb9ae7edb9404669b648d809e85046069"",""data/processed/val_pairs.csv"":""edc8ca9d2d1da16d55417b61a2c0ca4d4dbb6205940a7f065251b8ffdcabb4cd"",""data/processed/vulnerability_pairs_full.csv"":""7acb486e0f11421167459b1a003e7aa0b9a920d5c9b8a5e8761aaf47c3667c23"",""outputs/phase2/baseline_dev_icd.json"":""8af54a450b133a315b5578357e07b8201ddf2f431f8fee04874ef1f4a18974d6"",""outputs/phase4/intervention_library.json"":""d5ceb2c2ac8b9dccd2f6b9f76476ac0a0ff4f0d6ca1944dd1f174c01c15f4cf2"",""outputs/phase4/phase4_causal_validation.csv"":""713cc43c8abf40f3382958c8b69c92bf268bc5257e1207b0b183d3599bff6fd9"",""outputs/phase9/baseline_test_icd.json"":""250265bf336852de78ff467e456e9f11378357df9462002037a2df0627669560"",""revision/model1/phase16/outputs/phase16_per_cwe_descriptive.csv"":""6fb75e66c82bb3aecf84b034302e311fdac35af689eef45e7bbfb7b4efd13634"",""revision/model1/phase2/phase2_denominator_audit.json"":""75b5ca0a029e43a49a9048d17a94713c0003aad6f144352539c6b0ecede3f619"",""revision/model1/phase4/outputs/frozen_route_revalidation_scans.json"":""bc0e4b0b5fe817a06addab72d26a572bf9df718d247ae2437ef971a4ffd176f4""}"
CWE-327,18,13,24,6,1,29,12,true,RULE_AND_OR_REGEX,15,11,PRESENT,12,PRIMARY,Primary executed-study CWE with scanner support and a non-tiny held-out B0 denominator.,"[""data/processed/vulnerability_pairs_full.csv"",""data/processed/train_pairs.csv"",""data/processed/val_pairs.csv"",""data/processed/test_pairs.csv"",""outputs/phase2/baseline_dev_icd.json"",""outputs/phase9/baseline_test_icd.json"",""revision/model1/phase2/phase2_denominator_audit.json"",""outputs/phase4/phase4_causal_validation.csv"",""revision/model1/phase4/outputs/frozen_route_revalidation_scans.json"",""outputs/phase4/intervention_library.json"",""revision/model1/phase16/outputs/phase16_per_cwe_descriptive.csv""]","{""data/processed/test_pairs.csv"":""83396667de8ab6d817016929bfee90dccb0515267481f63962eaff22fe97200a"",""data/processed/train_pairs.csv"":""599698e22ffc5eba626e8c5f0b9fccfdb9ae7edb9404669b648d809e85046069"",""data/processed/val_pairs.csv"":""edc8ca9d2d1da16d55417b61a2c0ca4d4dbb6205940a7f065251b8ffdcabb4cd"",""data/processed/vulnerability_pairs_full.csv"":""7acb486e0f11421167459b1a003e7aa0b9a920d5c9b8a5e8761aaf47c3667c23"",""outputs/phase2/baseline_dev_icd.json"":""8af54a450b133a315b5578357e07b8201ddf2f431f8fee04874ef1f4a18974d6"",""outputs/phase4/intervention_library.json"":""d5ceb2c2ac8b9dccd2f6b9f76476ac0a0ff4f0d6ca1944dd1f174c01c15f4cf2"",""outputs/phase4/phase4_causal_validation.csv"":""713cc43c8abf40f3382958c8b69c92bf268bc5257e1207b0b183d3599bff6fd9"",""outputs/phase9/baseline_test_icd.json"":""250265bf336852de78ff467e456e9f11378357df9462002037a2df0627669560"",""revision/model1/phase16/outputs/phase16_per_cwe_descriptive.csv"":""6fb75e66c82bb3aecf84b034302e311fdac35af689eef45e7bbfb7b4efd13634"",""revision/model1/phase2/phase2_denominator_audit.json"":""75b5ca0a029e43a49a9048d17a94713c0003aad6f144352539c6b0ecede3f619"",""revision/model1/phase4/outputs/frozen_route_revalidation_scans.json"":""bc0e4b0b5fe817a06addab72d26a572bf9df718d247ae2437ef971a4ffd176f4""}"
CWE-338,2,27,4,0,0,7,2,true,RULE_AND_OR_REGEX,5,4,PRESENT,0,EXPLORATORY,Executed-study exploratory designation preserved; two raw pairs and no confirmatory held-out effect denominator.,"[""data/processed/vulnerability_pairs_full.csv"",""data/processed/train_pairs.csv"",""data/processed/val_pairs.csv"",""data/processed/test_pairs.csv"",""outputs/phase2/baseline_dev_icd.json"",""outputs/phase9/baseline_test_icd.json"",""revision/model1/phase2/phase2_denominator_audit.json"",""outputs/phase4/phase4_causal_validation.csv"",""revision/model1/phase4/outputs/frozen_route_revalidation_scans.json"",""outputs/phase4/intervention_library.json"",""revision/model1/phase16/outputs/phase16_per_cwe_descriptive.csv""]","{""data/processed/test_pairs.csv"":""83396667de8ab6d817016929bfee90dccb0515267481f63962eaff22fe97200a"",""data/processed/train_pairs.csv"":""599698e22ffc5eba626e8c5f0b9fccfdb9ae7edb9404669b648d809e85046069"",""data/processed/val_pairs.csv"":""edc8ca9d2d1da16d55417b61a2c0ca4d4dbb6205940a7f065251b8ffdcabb4cd"",""data/processed/vulnerability_pairs_full.csv"":""7acb486e0f11421167459b1a003e7aa0b9a920d5c9b8a5e8761aaf47c3667c23"",""outputs/phase2/baseline_dev_icd.json"":""8af54a450b133a315b5578357e07b8201ddf2f431f8fee04874ef1f4a18974d6"",""outputs/phase4/intervention_library.json"":""d5ceb2c2ac8b9dccd2f6b9f76476ac0a0ff4f0d6ca1944dd1f174c01c15f4cf2"",""outputs/phase4/phase4_causal_validation.csv"":""713cc43c8abf40f3382958c8b69c92bf268bc5257e1207b0b183d3599bff6fd9"",""outputs/phase9/baseline_test_icd.json"":""250265bf336852de78ff467e456e9f11378357df9462002037a2df0627669560"",""revision/model1/phase16/outputs/phase16_per_cwe_descriptive.csv"":""6fb75e66c82bb3aecf84b034302e311fdac35af689eef45e7bbfb7b4efd13634"",""revision/model1/phase2/phase2_denominator_audit.json"":""75b5ca0a029e43a49a9048d17a94713c0003aad6f144352539c6b0ecede3f619"",""revision/model1/phase4/outputs/frozen_route_revalidation_scans.json"":""bc0e4b0b5fe817a06addab72d26a572bf9df718d247ae2437ef971a4ffd176f4""}"
CWE-22,203,0,0,0,203,0,0,true,RULE_AND_OR_REGEX,0,0,ABSENT,0,NOT_ESTIMABLE,Scanner support exists but the official held-out B0 effect denominator is zero.,"[""data/processed/vulnerability_pairs_full.csv"",""data/processed/train_pairs.csv"",""data/processed/val_pairs.csv"",""data/processed/test_pairs.csv"",""outputs/phase2/baseline_dev_icd.json"",""outputs/phase9/baseline_test_icd.json"",""revision/model1/phase2/phase2_denominator_audit.json"",""outputs/phase4/phase4_causal_validation.csv"",""revision/model1/phase4/outputs/frozen_route_revalidation_scans.json"",""outputs/phase4/intervention_library.json"",""revision/model1/phase16/outputs/phase16_per_cwe_descriptive.csv""]","{""data/processed/test_pairs.csv"":""83396667de8ab6d817016929bfee90dccb0515267481f63962eaff22fe97200a"",""data/processed/train_pairs.csv"":""599698e22ffc5eba626e8c5f0b9fccfdb9ae7edb9404669b648d809e85046069"",""data/processed/val_pairs.csv"":""edc8ca9d2d1da16d55417b61a2c0ca4d4dbb6205940a7f065251b8ffdcabb4cd"",""data/processed/vulnerability_pairs_full.csv"":""7acb486e0f11421167459b1a003e7aa0b9a920d5c9b8a5e8761aaf47c3667c23"",""outputs/phase2/baseline_dev_icd.json"":""8af54a450b133a315b5578357e07b8201ddf2f431f8fee04874ef1f4a18974d6"",""outputs/phase4/intervention_library.json"":""d5ceb2c2ac8b9dccd2f6b9f76476ac0a0ff4f0d6ca1944dd1f174c01c15f4cf2"",""outputs/phase4/phase4_causal_validation.csv"":""713cc43c8abf40f3382958c8b69c92bf268bc5257e1207b0b183d3599bff6fd9"",""outputs/phase9/baseline_test_icd.json"":""250265bf336852de78ff467e456e9f11378357df9462002037a2df0627669560"",""revision/model1/phase16/outputs/phase16_per_cwe_descriptive.csv"":""6fb75e66c82bb3aecf84b034302e311fdac35af689eef45e7bbfb7b4efd13634"",""revision/model1/phase2/phase2_denominator_audit.json"":""75b5ca0a029e43a49a9048d17a94713c0003aad6f144352539c6b0ecede3f619"",""revision/model1/phase4/outputs/frozen_route_revalidation_scans.json"":""bc0e4b0b5fe817a06addab72d26a572bf9df718d247ae2437ef971a4ffd176f4""}"
